id,seed,DeltaRandom,DDecrease,D_t,B,LT,LS,LF,LL,delta,lobjval,lz1,lz2,fobjval,tot_runtime,gapf,best_it,himprov,solved
IR_B10000_D3333_F3_L12_T_5_seed_2,2,False,False,3333,10000,5,3,3,12,0.7,258137.09,251044.91,7092.18,194371.28,0.0,0.0,1,14.44,True
IR_B10000_D3333_F3_L12_T_5_seed_3,3,False,False,3333,10000,5,3,3,12,0.7,5367.7,0.0,5367.7,206640.0,11.6,0.0,4,7.37,True
IR_B10000_D3333_F3_L12_T_5_seed_4,4,False,False,3333,10000,5,3,3,12,0.7,5238.97,0.0,5238.97,204161.0,29.84,0.0,17,0.0,True
IR_B3000_D1000_F3_L4_T_10_seed_0,0,False,False,1000,3000,10,3,3,4,0.7,1018.04,0.0,1018.04,115196.0,20.73,0.0,23,0.0,True
IR_B3000_D1000_F3_L4_T_10_seed_1,1,False,False,1000,3000,10,3,3,4,0.7,974.66,0.0,974.66,129229.0,7.66,0.0,6,0.0,True
IR_B3000_D1000_F3_L4_T_10_seed_2,2,False,False,1000,3000,10,3,3,4,0.7,1699.03,305.97,1393.06,117687.89,3.89,0.0,3,0.0,True
IR_B3000_D1000_F3_L4_T_10_seed_3,3,False,False,1000,3000,10,3,3,4,0.7,1380.71,0.0,1380.71,130719.0,22.73,0.0,29,0.0,True
IR_B3000_D1000_F3_L4_T_10_seed_4,4,False,False,1000,3000,10,3,3,4,0.7,1009.35,0.0,1009.35,127434.0,11.17,0.0,17,0.0,True
IR_B5000_D1666_F3_L4_T_10_seed_0,0,False,False,1666,5000,10,3,3,4,0.7,2291.22,0.0,2291.22,191977.0,0.0,0.0,1,0.0,True
IR_B5000_D1666_F3_L4_T_10_seed_1,1,False,False,1666,5000,10,3,3,4,0.7,1890.06,0.0,1890.06,215431.0,11.29,0.0,10,0.04,True
IR_B5000_D1666_F3_L4_T_10_seed_2,2,False,False,1666,5000,10,3,3,4,0.7,31506.03,28839.88,2666.15,194891.0,13.36,0.0,9,0.0,True
IR_B5000_D1666_F3_L4_T_10_seed_3,3,False,False,1666,5000,10,3,3,4,0.7,2076.48,0.0,2076.48,217876.0,17.75,0.0,17,0.0,True
IR_B5000_D1666_F3_L4_T_10_seed_4,4,False,False,1666,5000,10,3,3,4,0.7,2029.23,0.0,2029.23,212314.0,3.24,0.0,7,0.0,True
IR_B7000_D2333_F3_L4_T_10_seed_0,0,False,False,2333,7000,10,3,3,4,0.7,2133.12,0.0,2133.12,268737.0,23.06,0.0,25,0.0,True
IR_B7000_D2333_F3_L4_T_10_seed_1,1,False,False,2333,7000,10,3,3,4,0.7,4447.49,0.0,4447.49,301591.0,31.9,0.0,29,0.04,True
IR_B7000_D2333_F3_L4_T_10_seed_2,2,False,False,2333,7000,10,3,3,4,0.7,12444.69,8365.31,4079.38,274236.49,15.36,0.0,13,0.0,True
IR_B7000_D2333_F3_L4_T_10_seed_3,3,False,False,2333,7000,10,3,3,4,0.7,2236.45,0.0,2236.45,305012.0,0.43,0.0,3,0.0,True
IR_B7000_D2333_F3_L4_T_10_seed_4,4,False,False,2333,7000,10,3,3,4,0.7,2683.12,0.0,2683.12,297277.0,12.56,0.0,19,0.0,True
IR_B10000_D3333_F3_L4_T_10_seed_0,0,False,False,3333,10000,10,3,3,4,0.7,3931.48,0.0,3931.48,383965.0,27.69,0.0,28,0.0,True
IR_B10000_D3333_F3_L4_T_10_seed_1,1,False,False,3333,10000,10,3,3,4,0.7,4380.41,0.0,4380.41,430901.0,1.92,0.0,2,0.0,True
IR_B10000_D3333_F3_L4_T_10_seed_2,2,False,False,3333,10000,10,3,3,4,0.7,5545.44,938.01,4607.44,392313.8,23.36,0.0,17,0.0,True
IR_B10000_D3333_F3_L4_T_10_seed_3,3,False,False,3333,10000,10,3,3,4,0.7,3988.28,0.0,3988.28,435742.0,18.59,0.0,24,0.0,True
IR_B10000_D3333_F3_L4_T_10_seed_4,4,False,False,3333,10000,10,3,3,4,0.7,3960.15,0.0,3960.15,424714.0,1.12,0.0,3,0.0,True
IR_B3000_D1000_F3_L8_T_10_seed_0,0,False,False,1000,3000,10,3,3,8,0.7,8351.76,6442.11,1909.65,117769.41,130.82,0.0,22,5.51,True
IR_B3000_D1000_F3_L8_T_10_seed_1,1,False,False,1000,3000,10,3,3,8,0.7,839.51,0.0,839.51,116315.0,1.46,0.0,2,0.09,True
IR_B3000_D1000_F3_L8_T_10_seed_2,2,False,False,1000,3000,10,3,3,8,0.7,1189.25,0.0,1189.25,124225.0,32.13,0.0,17,0.0,True
IR_B3000_D1000_F3_L8_T_10_seed_3,3,False,False,1000,3000,10,3,3,8,0.7,558.45,0.0,558.45,108657.0,48.15,0.0,29,0.0,True
IR_B3000_D1000_F3_L8_T_10_seed_4,4,False,False,1000,3000,10,3,3,8,0.7,1761.31,0.0,1761.31,114863.0,4.03,0.0,3,0.0,True
IR_B5000_D1666_F3_L8_T_10_seed_0,0,False,False,1666,5000,10,3,3,8,0.7,2946.75,504.96,2441.8,196403.83,206.32,0.0,28,5.67,True
IR_B5000_D1666_F3_L8_T_10_seed_1,1,False,False,1666,5000,10,3,3,8,0.7,1488.63,0.0,1488.63,193910.0,10.23,0.0,8,0.99,True
IR_B5000_D1666_F3_L8_T_10_seed_2,2,False,False,1666,5000,10,3,3,8,0.7,2239.2,0.0,2239.2,207011.0,9.76,0.0,6,0.0,True
IR_B5000_D1666_F3_L8_T_10_seed_3,3,False,False,1666,5000,10,3,3,8,0.7,1534.35,0.0,1534.35,181120.0,33.6,0.0,18,0.0,True
IR_B5000_D1666_F3_L8_T_10_seed_4,4,False,False,1666,5000,10,3,3,8,0.7,1594.11,0.0,1594.11,191470.0,88.88,0.0,27,0.08,True
IR_B7000_D2333_F3_L8_T_10_seed_0,0,False,False,2333,7000,10,3,3,8,0.7,17539.97,14573.5,2966.47,274796.16,175.42,0.0,27,5.61,True
IR_B7000_D2333_F3_L8_T_10_seed_1,1,False,False,2333,7000,10,3,3,8,0.7,3504.96,0.0,3504.96,271486.0,43.29,0.0,28,0.52,True
IR_B7000_D2333_F3_L8_T_10_seed_2,2,False,False,2333,7000,10,3,3,8,0.7,2923.38,0.0,2923.38,289817.0,16.73,0.0,8,0.09,True
IR_B7000_D2333_F3_L8_T_10_seed_3,3,False,False,2333,7000,10,3,3,8,0.7,1849.86,0.0,1849.86,253576.0,0.0,0.0,1,0.0,True
IR_B7000_D2333_F3_L8_T_10_seed_4,4,False,False,2333,7000,10,3,3,8,0.7,1716.08,0.0,1716.08,268076.0,61.48,0.0,21,0.05,True
IR_B10000_D3333_F3_L8_T_10_seed_0,0,False,False,3333,10000,10,3,3,8,0.7,7969.68,1940.26,6029.42,392853.96,37.66,0.0,9,0.08,True
IR_B10000_D3333_F3_L8_T_10_seed_1,1,False,False,3333,10000,10,3,3,8,0.7,3154.22,0.0,3154.22,387878.0,7.45,0.0,4,0.16,True
IR_B10000_D3333_F3_L8_T_10_seed_2,2,False,False,3333,10000,10,3,3,8,0.7,3892.28,0.0,3892.28,414074.0,35.02,0.0,22,0.0,True
IR_B10000_D3333_F3_L8_T_10_seed_3,3,False,False,3333,10000,10,3,3,8,0.7,2700.56,0.0,2700.56,362290.0,50.64,0.0,26,0.0,True
IR_B10000_D3333_F3_L8_T_10_seed_4,4,False,False,3333,10000,10,3,3,8,0.7,3616.57,0.0,3616.57,382977.0,0.0,0.0,1,0.08,True
IR_B3000_D1000_F3_L12_T_10_seed_0,0,False,False,1000,3000,10,3,3,12,0.7,7755.54,6081.64,1673.9,136893.71,451.07,0.0,7,44.66,True
IR_B3000_D1000_F3_L12_T_10_seed_1,1,False,False,1000,3000,10,3,3,12,0.7,6939.86,4122.0,2817.86,117629.0,255.83,0.0,21,6.06,True
IR_B3000_D1000_F3_L12_T_10_seed_2,2,False,False,1000,3000,10,3,3,12,0.7,4134.49,2663.54,1470.96,143888.44,60.53,0.0,10,2.37,True
IR_B3000_D1000_F3_L12_T_10_seed_3,3,False,False,1000,3000,10,3,3,12,0.7,1536.14,0.0,1536.14,116434.0,6.03,0.0,2,1.62,True
IR_B3000_D1000_F3_L12_T_10_seed_4,4,False,False,1000,3000,10,3,3,12,0.7,2040.1,0.0,2040.1,119951.0,398.87,0.0,28,0.01,True
IR_B5000_D1666_F3_L12_T_10_seed_0,0,False,False,1666,5000,10,3,3,12,0.7,52602.23,50875.11,1727.12,225424.82,32.64,0.0,4,41.99,True
IR_B5000_D1666_F3_L12_T_10_seed_1,1,False,False,1666,5000,10,3,3,12,0.7,2865.56,0.0,2865.56,196840.0,104.5,0.0,12,1.33,True
IR_B5000_D1666_F3_L12_T_10_seed_2,2,False,False,1666,5000,10,3,3,12,0.7,5103.3,1397.37,3705.94,240300.36,109.98,0.0,14,3.73,True
IR_B5000_D1666_F3_L12_T_10_seed_3,3,False,False,1666,5000,10,3,3,12,0.7,1794.95,0.0,1794.95,194022.0,57.88,0.0,17,47.2,True
IR_B5000_D1666_F3_L12_T_10_seed_4,4,False,False,1666,5000,10,3,3,12,0.7,5198.96,2673.8,2525.16,199858.97,256.01,0.0,27,17.47,True
IR_B7000_D2333_F3_L12_T_10_seed_0,0,False,False,2333,7000,10,3,3,12,0.7,147952.33,142644.64,5307.7,309393.74,286.72,0.0,8,15.57,True
IR_B7000_D2333_F3_L12_T_10_seed_1,1,False,False,2333,7000,10,3,3,12,0.7,3192.21,0.0,3192.21,275525.0,71.34,0.0,4,7.4,True
