lobjval,fobjval,lz1,lz2,tot_runtime,gapf,best_it,list_lObj,list_fObj,list_lZ1s,list_lZ2s,list_runtime,improvementHeuristic
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733393.3659993558,23716.865407498237,170640.39045286938,562752.9755464864,100.0699999332428,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733291.3368178635,23716.86540954443,170640.38971408215,562650.9471037814,100.07599997520447,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,735411.8614501238,23717.74923986724,173188.10545052556,562223.7559995983,100.06500005722046,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733731.6582319342,23717.09013064332,170658.14267637863,563073.5155555556,100.06200003623962,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733331.9101045042,23716.865414543652,170640.39010450416,562691.52,100.05599999427795,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733219.5897564312,23716.865410182003,170640.38976385843,562579.1999925728,100.14100003242493,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733651.7328493118,23717.049589366376,170786.4573054485,562865.2755438633,100.14000010490417,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733549.5412156152,23716.865414543656,170640.39010450421,562909.151111111,100.07299995422363,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,733326.0501045042,23716.86541454365,170640.39010450416,562685.66,100.07699990272522,0.07949162015349205
733209.7661045041,23716.86541454365,170640.39010450416,562569.3759999999,5044.105247020721,0.0009082345544698994,9,736935.7967057703,23717.066651690482,174142.59670577032,562793.2,100.1010000705719,0.07949162015349205
